label,final_performance,learning_speed,sample_efficiency,performance_index
SARSA α=0.1 ε=0.1,-21.870666666666665,33,-51.28666666666667,0.9521495319389852
SARSA α=0.3,-23.476,20,-36.668933333333335,0.9389325896816232
SARSA α=0.5,-26.488666666666667,13,-36.058933333333336,0.8982937468277856
SARSA ε=ExponentialDecay,-21.510666666666665,13,-1234.1851333333334,0.8467612877806805
SARSA α=0.05,-29.182666666666666,144,-75.49166666666666,0.755269287364045
SARSA ε=LinearDecay,-19.964,38,-2640.1399333333334,0.7021593517911432
Q-Learning α=0.3,-48.72266666666667,12,-58.4948,0.5577003567570656
Q-Learning α=0.5,-52.762,10,-56.23393333333333,0.49785438013893013
Q-Learning α=0.05,-48.205333333333336,100,-89.6,0.49660732342541214
Q-Learning α=0.1 ε=0.1,-50.178,71,-70.6688,0.4901894837411982
Q-Learning ε=LinearDecay,-32.727333333333334,45,-3797.2098,0.3793057245633531
Q-Learning ε=ExponentialDecay,-48.138,22,-1796.6390666666666,0.3742984306676792
